sample_id,filename,direction,target_Black_Hair,target_Blond_Hair,target_Brown_Hair,target_Male,target_Young
fixed_00,169735.jpg,Black_Hair,1,0,0,0,0
fixed_00,169735.jpg,Blond_Hair,0,1,0,0,0
fixed_00,169735.jpg,Brown_Hair,0,0,1,0,0
fixed_00,169735.jpg,Male,1,0,0,1,0
fixed_00,169735.jpg,Young,1,0,0,0,1
fixed_01,050245.jpg,Black_Hair,1,0,0,0,1
fixed_01,050245.jpg,Blond_Hair,0,1,0,0,1
fixed_01,050245.jpg,Brown_Hair,0,0,1,0,1
fixed_01,050245.jpg,Male,1,0,0,1,1
fixed_01,050245.jpg,Young,1,0,0,0,0
fixed_02,169108.jpg,Black_Hair,1,0,0,1,0
fixed_02,169108.jpg,Blond_Hair,0,1,0,1,0
fixed_02,169108.jpg,Brown_Hair,0,0,1,1,0
fixed_02,169108.jpg,Male,1,0,0,0,0
fixed_02,169108.jpg,Young,1,0,0,1,1
fixed_03,028136.jpg,Black_Hair,1,0,0,1,1
fixed_03,028136.jpg,Blond_Hair,0,1,0,1,1
fixed_03,028136.jpg,Brown_Hair,0,0,1,1,1
fixed_03,028136.jpg,Male,1,0,0,0,1
fixed_03,028136.jpg,Young,1,0,0,1,0
fixed_04,074163.jpg,Black_Hair,1,0,0,0,0
fixed_04,074163.jpg,Blond_Hair,0,1,0,0,0
fixed_04,074163.jpg,Brown_Hair,0,0,1,0,0
fixed_04,074163.jpg,Male,0,1,0,1,0
fixed_04,074163.jpg,Young,0,1,0,0,1
fixed_05,025600.jpg,Black_Hair,1,0,0,0,1
fixed_05,025600.jpg,Blond_Hair,0,1,0,0,1
fixed_05,025600.jpg,Brown_Hair,0,0,1,0,1
fixed_05,025600.jpg,Male,0,1,0,1,1
fixed_05,025600.jpg,Young,0,1,0,0,0
fixed_06,143470.jpg,Black_Hair,1,0,0,1,0
fixed_06,143470.jpg,Blond_Hair,0,1,0,1,0
fixed_06,143470.jpg,Brown_Hair,0,0,1,1,0
fixed_06,143470.jpg,Male,0,1,0,0,0
fixed_06,143470.jpg,Young,0,1,0,1,1
fixed_07,189178.jpg,Black_Hair,1,0,0,1,1
fixed_07,189178.jpg,Blond_Hair,0,1,0,1,1
fixed_07,189178.jpg,Brown_Hair,0,0,1,1,1
fixed_07,189178.jpg,Male,0,1,0,0,1
fixed_07,189178.jpg,Young,0,1,0,1,0
fixed_08,165253.jpg,Black_Hair,1,0,0,0,0
fixed_08,165253.jpg,Blond_Hair,0,1,0,0,0
fixed_08,165253.jpg,Brown_Hair,0,0,1,0,0
fixed_08,165253.jpg,Male,0,0,1,1,0
fixed_08,165253.jpg,Young,0,0,1,0,1
fixed_09,016160.jpg,Black_Hair,1,0,0,0,1
fixed_09,016160.jpg,Blond_Hair,0,1,0,0,1
fixed_09,016160.jpg,Brown_Hair,0,0,1,0,1
fixed_09,016160.jpg,Male,0,0,1,1,1
fixed_09,016160.jpg,Young,0,0,1,0,0
fixed_10,045317.jpg,Black_Hair,1,0,0,1,0
fixed_10,045317.jpg,Blond_Hair,0,1,0,1,0
fixed_10,045317.jpg,Brown_Hair,0,0,1,1,0
fixed_10,045317.jpg,Male,0,0,1,0,0
fixed_10,045317.jpg,Young,0,0,1,1,1
fixed_11,093991.jpg,Black_Hair,1,0,0,1,1
fixed_11,093991.jpg,Blond_Hair,0,1,0,1,1
fixed_11,093991.jpg,Brown_Hair,0,0,1,1,1
fixed_11,093991.jpg,Male,0,0,1,0,1
fixed_11,093991.jpg,Young,0,0,1,1,0
fixed_12,120849.jpg,Black_Hair,1,0,0,1,1
fixed_12,120849.jpg,Blond_Hair,0,1,0,1,1
fixed_12,120849.jpg,Brown_Hair,0,0,1,1,1
fixed_12,120849.jpg,Male,1,0,0,0,1
fixed_12,120849.jpg,Young,1,0,0,1,0
fixed_13,063578.jpg,Black_Hair,1,0,0,0,1
fixed_13,063578.jpg,Blond_Hair,0,1,0,0,1
fixed_13,063578.jpg,Brown_Hair,0,0,1,0,1
fixed_13,063578.jpg,Male,0,1,0,1,1
fixed_13,063578.jpg,Young,0,1,0,0,0
fixed_14,083306.jpg,Black_Hair,1,0,0,0,1
fixed_14,083306.jpg,Blond_Hair,0,1,0,0,1
fixed_14,083306.jpg,Brown_Hair,0,0,1,0,1
fixed_14,083306.jpg,Male,0,1,0,1,1
fixed_14,083306.jpg,Young,0,1,0,0,0
fixed_15,022603.jpg,Black_Hair,1,0,0,0,1
fixed_15,022603.jpg,Blond_Hair,0,1,0,0,1
fixed_15,022603.jpg,Brown_Hair,0,0,1,0,1
fixed_15,022603.jpg,Male,0,0,0,1,1
fixed_15,022603.jpg,Young,0,0,0,0,0
